ip,duration,positive,id,Xs,Exclude,relax_1,relax_2,relax_3,relax_4,relax_5,relax_6,relax_time,awake_1,awake_2,awake_3,awake_4,awake_5,awake_6,awake_time,hot_1,hot_2,hot_3,hot_4,hot_5,hot_6,hot_time,cold_1,cold_2,cold_3,cold_4,cold_5,cold_6,cold_time,pay_1,pay_2,pay_3,pay_4,pay_5,pay_6,pay_time,pet_1,pet_2,pet_3,pet_4,pet_5,pet_6,pet_time,transport_1,transport_2,transport_3,transport_4,transport_5,transport_6,transport_time,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_time,fire_1,fire_2,fire_3,fire_4,fire_5,fire_6,fire_time,light_1,light_2,light_3,light_4,light_5,light_6,light_time,cut_1,cut_2,cut_3,cut_4,cut_5,cut_6,cut_time,stick_1,stick_2,stick_3,stick_4,stick_5,stick_6,stick_time,contact_1,contact_2,contact_3,contact_4,contact_5,contact_6,contact_time,mask_1,mask_2,mask_3,mask_4,mask_5,mask_6,mask_time,meat_1,meat_2,meat_3,meat_4,meat_5,meat_6,meat_time
172.220.244.5,1722,TRUE,A11Q8U6QTT8KGF,13,,board game,video game,movie,TV,book,win,37,coffe,tea,redbull,chocolat,pop,X,78,ic,beer,pool,fan,X,X,70,blanket,my sweater,hot tea,fireplac,X,X,42,cash,card,chang,down payment,gift card,store credit,55,dog,cat,bird,lizard,snak,hamster,29,bik,skateboard,scooter,motorcycl,car,truck,32,crayon,pencil,pen,acrylic,oil paint,paper,31,match,ga burner,candl,lighter,X,X,51,flashlight,match,phon,penlight,candl,torch,63,scissor,razor,knif,thread puller,X,X,37,tap,magnet,fram,sticky tack,X,X,60,email,phon,,addres,snapchat,facebook,32,mask,hankerchief,bandana,scarf,X,X,119,chicken,beef,pork,pork belly,tofu,fish,50.463
73.236.40.189,905,TRUE,A1L92Y6VBTRFP5,0,,candle,music,lighting,bath,incens,beer,20,coffe,5 hour energy,red bull,candy,chocolat,snicker,22,ic,water,ice cream,soda,lemonad,cool towel,22,coat,slipper,glov,scarf,toboggan,head wrap,19,money,bill,coin,credit card,store card,car,26,cat,dog,rabbit,parrot,hamster,mous,20,car,bik,uber,lyft,tricycl,smart car,18,pencil,paper,crayon,marker,lipstick,charcoal,20,match,lighter,stov,propane torch,candl,kerosene heater,28,flashlight,lighter,phon,extra key,pocket watch,glow stick,41,scissor,knif,nail clipper,strong hand,fingernail,clipper,32,magnet,glu,sticker,tap,gum,tap,29,notepad,my phon,my watch,pen,paper,chalk,22,napkin,mask,neck gator,paper filter,bandana,hair ti,37,beef,pork,lamb,fish,trout,salmon,18.36
107.13.11.206,1959,TRUE,A21RH6S7M78KIZ,4,,loud music,quiet music,book on how to calm yourself,beer,whiskey,vodka,34,medium roast coffe,dark roast coffe,tea,energy drink,soda,X,48,window AC,cold water in the fridg,central AC,lake outsid,cold shower,X,40,ga heater,electric heater,wood stov,pellet stov,teapot,coffee pot,40,credit card,debit card,checkbook,wad of cash,discount coupon,X,57,hamster,guinea pig,mic,puppi,kitten,fish,27,bik,scooter,skateboard,motorcycl,pickup truck,car,42,watercolor,pencil,pen,oil based paint,easel,construction paper,37,zippo,bic lighter,butane lighter,bbq lighter,match,X,34,lighter,flashlight,phone with a flashlight,match,glow stick,magnet,53,kniv,scissor,shear,toenail clipper,brute strength,strong boyfriend,38,scotch tap,magnet,glu,duct tap,packing tap,masking tap,32,her brother number,her mom addres,Morgan email addres,Morgan fax number,Morgan work number,Morgan phone number,52,green mask,blue mask,pink mask,yellow mask,bandana,gaiter,28,lamb,beef,pork,chicken breast,chicken thigh,cow tongu,42.042
72.68.192.46,1286,TRUE,A2AT5B7RW4VXBX,35,,weed,booz,movi,blanket and pillow,X,X,36,coffe,energy drink,X,X,X,X,22,problem,thermostat,lak,pool,pond,X,35,thermostat,blanket,dresser with sock,closet with sweater,X,X,56,enough money,my debit card,my credit card,your wallet,X,X,41,puppi,kitten,fish,gerbil,hamster,lizard,22,bu,uber,taxi,friend to pick u up,X,X,36,enough suppli,color,pencil,paint,crayon,X,26,min,match,X,X,X,X,21,my phon,lighter,flashlight,X,X,X,25,scissor,knif,nail clipper,X,X,X,24,magnent,tap,sticky tak,X,X,X,34,her email,her phone number,her work addres,her fax number,X,X,64,another,cash to buy you on,back up,X,X,X,24,beef,chicken,seafood,X,X,X,29.97
72.77.81.140,1574,TRUE,ACQKEA3LXG5CT,0,,music,movi,video gam,board gam,book,blanket,41,coffe,espresso,tea,Cola,no doz,orange soda,54,caling fan,table fan,box fan,window ac unit,cold drink,window to open,49,fireplac,woodstov,blanket,sweater,hot chocolat,coffe,39,cash,chang,check,credit card,debt card,gift card,26,cat,dog,bird,hamster,reptil,rat,27,car,bik,scooter,skateboard,rollerskat,atv,62,Paper,charcoal,colored pencil,marker,crayon,china marker,48,box of match,lighter,flint and steel,magnifing glas,battery and a gum wrapper,matchbook,135,flashlight,lighter,phon,lightup watch fac,fitnes tracker with a screen that ligth up,match,92,scissor,box knif,pocket knif,nail clipper,muli-tool,key,68,scotch tap,magnet,wall tack,gum,double stick tap,glue stick,72,e-mail,busines phon,phon,home phon,linked-in,facebook,30,buff,headband,bra,extra shirt,bandana,leg warmer,96,beek,chicken,pork,shrimp,fish,beyond meat,67.807
173.53.111.97,2532,TRUE,A3FISMGJDSCT10,0,,music,lavender,tea,coffe,pillow,blanket,43,coffe,vitamin,tea,cola,juic,caffein,51,fan,ac,window,no a/c,fan,ic,76,ic,snow,no heat,frost,chill,icicl,75,cash,money,credit card,dollar,chang,hundred,50,bird,hamster,gerbil,cat,dog,lizard,33,bik,skat,skateboard,truck,car,motorcycl,55,pen,pencil,charcoal,crayon,marker,ink,42,match,lighter,many,on,something,som,57,glas,flashlight,lighter,magnifying glas,light,tim,87,scissor,clipper,snip,razor,kniv,hand,88,on,room,spac,tim,tap,magnet,49,their number,contact info,her number,number,it,contact,133,on,bandana,something,several,plenty,mask,49,beef,steak,crab,shrimp,chicken,pork,38.523
136.32.86.98,1218,TRUE,A2REV0HI2NA1RR,10,,win,beer,soda,netflix,music,food,38,coffe,tea,energy drink,hot choclat,instant coffe,latt,72,AC,fan,celing fan,pool,ic,bath tub,40,fire plac,blanket,heater,wood,jacket,X,40,my card,extra,enough,cash,debit card,check,39,fish,snak,bird,cat,dog,hamster,27,my car,my truck,my suv,my van,my motorcycl,my tesla,44,pencil,pen,crayon,marker,chalk,oil pastel,40,match,lighter,zippo,candl,X,X,111,my phon,flashlight,lighter,match,X,X,45,scissor,clipper,knif,seam ripper,X,X,104,magent,tap,clip,tac,glu,X,50,her number,her email,work email,work phon,X,X,49,disposabl,reusabl,scarf,banada,extra,t shirt,108,beef,chicken,pork,lamb,shrimp,fish,29.832
70.140.24.236,1022,TRUE,A2MS1GQLGAX9FZ,0,,face mask,massager ,O,jacuzzi,scalp massager,music,101,bed,coffe,coca cola,tea,cigarett,shower,41,AC,table fan,ceiling fan,ice cub,cold drink,cold water,92,blanket,sweater,fireplac,jacket,comforter,mitten,37,my credit card,cash,check,my debit card,Apple pay on my phon,CashApp,30,cat,dog,hamster,rabbit,bird,guinea pig,25,car,van,motorcycl,two bik,tesla,honda,35,canva,colored pencil,paint,paintbrush,crayon,marker,38,propane torch,flint and steel,match,tinder,rock,ga stov,162,flashlight,compact light,my phone flashlight,lighter,match,LED light,88,scissor,knif,razor blad,cutter,plier,box cutter,109,magnet,tap,sticker,room,removable hook,suction cup,150,their number,their email addres,their snapchat,their work number,their phone number,their facebook,56,bandana,extra mask,disposable mask,spare mask,brand new mask,unused mask,42,beef,chicken,goat,lamb,fish,squid,41.288
24.188.118.193,757,TRUE,A14OQ52EFQAN2W,0,,video gam,chip,candy,weed,record,Netflix,42,coffe,caffeine pill,tea,energy drink,latt,espresso shot,190,fan,cooling pad,AC,cool towel,breeze; Ill open a window,thermostat,222,jacket,coat,fireplac,thermostat,heater,wood stov,19,money,cash,credit card,debit card,dough,it covered,99,dog,cat,snak,fish,ferret,hamster,19,car,rid,motorcycl,scooter,van,SUV,26,paint,art suppli,canva,acrylic,marker,sketchbook,57,lighter,match,candle lighter,Zippo,Bic,something,50,flashlight,pen light,my phon,magnetic grabber,laser pointer,flashlight on my phon,69,scissor,shear,knif,pocket knif,nail clipper,kitchen shear,258,magnet,tap,glu,clothestpin,double-sided tap,chip clip,31,their number,their Facebook,their Snapchat,their Twitter,their LinkedIn,their contact info,36,extra,mask,handkerchief,bandanna,napkin,mor,32,pork,ham,chicken,beef,shrimp,salmon,138.878
75.166.126.11,1585,TRUE,A38DHLB88V8DL8,5,,beer,video gam,movi,book,tea,coffe,49,coffe,shower,energy drink,food,soda,water,108,shower,cool towel,water,beer,fan,popsicl,50,blanket,coat,fireplac,hot bath,hot coffe,hot chocolat,41,money,chang,my phon,my credit card,my debit card,my checkbook,37,dog,cat,hamster,bird,fish,rabbit,46,car,bik,motorcycl,Uber,taxi,scooter,47,paper,pencil,marker,pen,crayon,paint,28,lighter,match,candl,burner,torch,X,126,flashlight,glow stick,my phone light,lighter,match,X,85,scissor,clipper,knif,box cutter,teeth,X,63,tap,magnet,glu,command strip,X,X,93,her email,her phone number,her addres,her facebook account,her twitter account,her instagram account,80,mask,handkerchief,scarf,bandana,towel,shirt,120,chicken,beef,shrimp,pork,lamb,fish,46.327
108.200.221.90,1333,TRUE,A3EKWPKR0OX8P8,0,,wine,beer,massager,wine cooler,weed,lady friend,55,red bull,coffe,espresso,energy drink,5hour enegry,monster,126,ice cream,popsical,ice cold beer,ac,cold shower,cold water,59,stov,fire wood,blanket,fur coat,glov,heater,66,cash,credit,enough to cover,apple pay,gift card,no problem to pay,90,cat,dog,fish,bird,lizard,hamster,59,bik,scooter,skat,skate board,unicycl,moped,48,canvas,marker,pencil,easal,paint,tim,76,match,torch,lighter,no lighter sorry,found on,not seen a lighter,103,flash light,lighter,my phone with flash,led keychain,magnet,spar,116,knif,scissor,swis knif,box cutter,nail clipper,cutical cutter,77,spac,magnet to hang it,time to do it,fram,fridg,more to hang also,140,her phone number,her contact info,only her work number,her number but not on m,her on instagram,her on facebook,124,extra on,money to buy on,spare on,back up,time to go back,one in the car,104,beef,steak,chicken,goat,shrimp,bacon,37.127
108.41.51.195,3245,TRUE,ALXW2ZXX4SJRO,0,,tea,music,low lighting,massager,fireplace,weed,74,coffe,tea,energy drink,cold shower,sugary cereal,juic,94,water,beer,iced tea,cold shower,ac,fan,63,kerosene heater,fireplac,blanket,hot cocoa,furnac,heat lamp,77,credit card,debit card,check,cash,chang,gift card,49,cat,dog,fish,turtl,reptil,guinea pig,30,car,van,truck,motorcycl,moped,bik,34,pencil,pen,sketch pad,crayon,pastel,paint,33,lighter,match,candl,incense stick,oil lamp,ga stov,73,flashlight,match,candl,another set of key,eyeglas,magnifying glas,136,scissor,knif,tweezer,finger nail,teeth,lighter,45,scotch tap,magnet,glu,chewing gum,masking tap,electrical tap,117,email addres,phone number,addres,Instagram info,Twitter addres,LinkedIn profil,74,extra mask,scarf,bandana,t-shirt,cloth,towel,106,chicken,beef,pork,veal,lamb,venison,33.037
107.221.88.62,712,TRUE,AUAN582MLI96N,23,,beer,win,jack daniel,whiskey,weed,tea,27,coffe,tea,bang,pre-workout,monster,red bull,53,fan,AC,X,X,X,X,44,blanket,warmer,jacket,heater,fire-wood,glov,34,cash,money,credit card,X,X,X,29,dog,cat,bird,iguana,gerbil,hamster,28,rid,car,tim,bik,skateboard,sho,35,paint,marker,pencil,pen,paper,book,25,on,match,lighter,X,X,X,20,light,flashlight,lighter,match,X,X,22,scissor,knif,razer,clipper,plyer,blad,27,mor,magnet,tap,sticky,X,X,33,hi number,X,X,X,X,X,20,on,mask,X,X,X,X,25,chicken,shrimp,scallop,beef,lamb,pork,35.767
98.144.149.220,1677,TRUE,A1F5E941TP0UIZ,2,,win,candl,bath tub,music,yummy food,movie,82,coffe,caffeine pill,energy drink,idea,help for you,place for a nap,127,cold beer,water,pool,AC,fan,sprinkler,54,fireplac,blanket,sweater,heater,hot tub,stov,60,money,credit card,gift card,store credit,your wallet,checkbook,62,cat,kitten,dog,puppi,hamster,fish,35,car,bik,uber app,skateboard,atv,tractor,88,pencil,sketch book,chalk,marker,pen,crayon,47,extra lighter,match,candl,stov,fireplac,X,80,flashlight,my phon,magnet,another key,idea,hand,106,scissor,knif,razor blad,lighter,my hand,teeth,89,magnet,tap,poster putty,gum,clip,perfect spot,63,her number,her e-mail,her addres,her contact info,her facebook,her info,92,extra on,scarf,bandana,towel,napkin,for fabric,99,chicken,pork,beef,shrimp,duck,X,59.476
207.244.71.82,2028,TRUE,A2WC2NO555XU3J,8,,candle,game,tv,food,drink,tea,27,coffe,tea,energy drink,soda,caffeine pill,stimulant,36,ic,cold drink,ice cream,ice pack,cold drink,shower,30,fir,heating,blanket,warm drink,hot cocoa,jacket,22,cash,my wallet,money,credit card,debit card,gift card,18,dog,cat,fish,bird,bunni,hamster,13,bik,scooter,motorcycl,roller blad,car,X,46,paint,pencil,crayon,marker,pen,sharpi,24,lighter,match,candl,torch,X,X,29,flashlight,my phon,lighter,keychain light,X,X,36,scissor,nail clipper,knif,shear,nail fil,X,43,magnet,tap,more photo,fridge clip,X,X,19,her number,her facebook,her whatapp,her instagram,her twitter,her linkedin,24,extra,mask,bandana,scarf,neck gaiter,spar,19,beef,chicken,pork,turkey,sausag,bacon,26.525
66.108.192.193,1043,TRUE,A3MYPYBVHX7FQ2,7,,book,tv ,game,wine,pill,candle,59,coffe,caffeine pill,aphetamin,wake up drug,X,X,93,ic,t-shirt,short,bathing suit,AC,fan,57,fireplac,blanket,shawl,space heater,sweater,coat,42,cash,my wallet,credit card,my debit card,enough for both of u,money I can loan you,69,dog,puppi,cat,kitten,bird,reptil,24,car,truck,motorcycl,bik,scooter,moped,36,chalk,crayon,pencil,water color,pastel,marker,38,match,extra lighter,campfire lighter,candl,zippo,bic,62,binocular,glas,flashlight,phone to call an ambulanc,X,X,54,scissor,knif,razor,tag remover,plyer,X,40,plac I can put it,good place on the fridg,room on the fridg,few plac in mind for it,space on the side of the fridg,good spot for it,106,her number,her facebook,her snapchat,her twitter,her email,her instagram,45,extra mask,scarf,enough to buy on,bandana,X,X,46,chicken,beef,pork,shrimp,scallion,fish,33.146
96.33.153.183,928,TRUE,APRZ7BR8C0ZMQ,0,,music,weed,O,beer,whiskey,headphon with nice music,96,Some Red Bull,Some Coffe,Some tea,Some Mountain Dew extra Caffin,Espresso,Some healthy shak her,74,A box fan,rotary fan,hand fan,portable AC,thermostat Ill turn on the AC,Some lemonad,74,extra jacket,heavy sweater,blanket,quilt,thermostat ther,logs let light a fir,43,my debit,credit card her,money I borrowed from you earlier,cash,My Paypal info,My checkbook,53,puppi,dog,cat,ferret,fish,parrot,33,skateboard her,my bik let rid,car keys let driv,my scooter,roller blad,my motorcycl,169,paper,crayon,water color,blank canva,oil paint,spare house paint,40,match,bic,A zippo,lighter,A lit cigarette use that,candl,69,my flashlight,match Ill light it,my light app on my phon,spare key you loaned m,mini light on my key chain,my mini go pro camera it ha a light,127,knif,scissor,my toe nail clipper,wire cutter,sharp letter opener,sharp pruning shear,72,Another one here with a funny face on it,magnet right here to put it up with,tape to stick it up with,glue stick to stick it up with,elmer glue to stick it on with,Some Duct tape let use that,102,Her e mail,her phone number,busines card of her,her facebook link,instagram contact,her Twitter info,72,extra mask,scarf you can us,new gaiter,bandana you can us,old mask,remnant of cloth you can us,69,shrimp,beef,korean BBQ,Pork,lamb,chicken,42.121
73.175.223.12,1235,TRUE,A2FP41BSPG0Y4A,7,,couch,drinks,tv,bar,pizza,swimming pool,94,coffe,tea,X,X,X,X,38,cold drink,cold water,swimming pool,bathtub,cold juic,air condition,82,i a blanket,camp fir,hot tea,jacuzzi,i some hot soup,ciggeret,155,my wallet,my credit card,my digital wallet,my credit card,cash,gift card,88,dog,cat,hamster,rabbit,guinea pig,parrot,92,bibycl,bik,car,truck,hors,van,48,wood panel,paintbrush,Pencil,Paper,Canva,Colored and pastel pencil,304,match,Digital lighter,Zippo Chrome Lighter,Djeep Lighter,Vector Thundra Desktop Lighter,Wenger Asterion 650602,280,touchlight,my fone light,lighter,X,X,X,86,knif,scissor,nail cutter,pen knif,razor,pocket kif,64,deep freezer,double door fridg,ic,Side-by-Side fridg,Counter-Depth fridg,Top Freezer fridg,107,her contact,her Facebook pag,her Instagram handl,her skype No,her WhatsApp No,her twitter handl,95,Surgical mask,Clear mask,face shield,face protector,handkerchief,cloth,216,beef,pork,stak,chicken,turkey,ham,161.201
70.172.10.126,1084,TRUE,A2DLYBXZNSSJ4S,28,,movie,music,Massager,video,X,X,69,beer,hot soup,loud music album,Airpod,X,X,63,Water,Beer,Win,Ice pack,X,X,59,Sweater,Jacket,thermal,Hoodi,X,X,48,money,gift card,debit card,Credit card,X,X,105,Puppy,Cat,dog,pig,X,X,89,Cycl,bik,Car,electric bik,X,X,63,Paper,Stand,brush,color,Water,clip,38,lighter,matchbox,Stove lighter,Fire helper,X,X,44,Extra key,tool,Can break,Can go in trough back door,X,X,156,Cutter,scissior,knif,hand cutter,X,X,89,place to keep,i will keep,love toward the photo,I will do it,X,X,78,Hi contact,face tim,skype id,whatsapp number,X,X,82,extra mask,handkey,napkin,piece of cloth,X,X,51,Meat ball,Chicken wing,Chicken fri,Chicken chop,X,X,66.416
73.36.223.250,1259,TRUE,A1ADAWW4IHPCQ7,3,,tea,win,beer,whiskey,alcohol,weed,41,coffe,caffeine pill,soda,sugar,energy bar,cold water,311,ice cream,AC,inflatable pool,cold water,lemonaid,fan,211,fireplac,wood stov,furnac,blanket,extra coat,firewood,23,cash,credit card,my wallet,money,check,debit card,20,puppi,cat,gerbel,bird,guinea pig,fish,33,bik,car,motorcycl,roller skat,skateboard,van,197,pencil,paint,suppli,conte crayon,watercolor,ink and paper,53,match,lighter,light,zippo,bic,lit cigarett,47,flashlight,lighter,match,light from my phone screen,extra set of key,glow stick,39,scissor,knif,nail clipper,snip,blad,seam ripper,46,room,magnet,one for you too,just the spot,such fond memori,X,189,their phone number,their email addres,spoken to them yesterday,their contact information,X,X,41,extra mask,face wrap,plastic shield,scarf,respirator,gaiter,36,chicken,steak,shrimp,fish,turkey,hamburger,18.297
47.135.1.239,775,TRUE,A12X8RUSITV7RU,16,,Netflix,video gam,movi,music,snack,drink,193,coffe,Red Bull,tea,5 Hr Energy,Monster,soda,142,fan,ac,water,window,X,X,184,blanket,fireplac,fire pit,sweater,coat,X,96,money,my card,my wallet,min,cash,X,88,parakeet,hamster,ferret,guinea pig,fish,rabbit,142,car,scooter,skateboard,bik,motorcycl,X,57,pencil,paper,charcoal,colored pencil,crayon,pen,132,on,lighter,match,light,X,X,200,my phon,flashlight,lighter,match,X,X,71,scissor,kniv,clipper,shear,X,X,232,room,spac,magnet,tap,X,X,245,her number,her email,her on Facebook,her LinkedIn profil,X,X,226,extra,plenty,two,ton,on,spar,173,pork,beef,fish,shrimp,chicken,X,237.105
172.83.67.93,1273,TRUE,A1GE5V7MX2DPG7,0,,win,warm milk,movi,Sam-,electric blanket,tea,80,coffe,tea,Energy Drink,caffeine shot,Cok,Mountain Dew,70,Ice water,Ice Tea,soda,ice cream,orange juic,apple juic,57,fire plac,warm blanket,hot coffe,hot tea,fire pit,coat,51,money,credit card,cash app,fund,debit card,store credit,72,kitten,puppi,bird,hampster,fish,lizard,33,my car,bik,bu,your car,train,rail system,50,pencil,pen,marker,eraser,easel,paper,33,lighter,candle lighter,match,Zippo,Bic,Ga stov,142,flash light,light from phone screen,flash light on phon,key tag light,flash light app,light,143,scissor,shear,steak knif,kitchen scissor,thread remover,pocket knif,78,magnet,fridge magnet,magnetized bottle opener,magnetized chip clip,picture magnet,tap,83,her phone number,contact info,email,her on messenger,new job information,addres,72,extra mask,scarf,disposable mask,bandana,handkerchief,extra shirt,119,chicken,pork,ground beef,steak,turkey,fish,27.339
69.174.173.105,1016,TRUE,A1Y508FNU04ZLH,20,,bed,pillow,blanket,xanax,muscle relaxer,X,55,coffe,soda,adderall,cafein,drug,X,56,water,fan,air condition,many cold drink,X,X,77,heat,portable heater,log,fireplac,blanket,X,42,extra cash,credit card,chang,money,X,X,39,puppy,kitten,farret,fish,all kind of pet,X,75,wheel,motorcycl,car,truck,bik,X,51,pen,pencil,shader,canva,marker,chalk,65,lighter,match,ga stov,torch,X,X,43,flashlight,lighter,light,match,X,X,51,sccissor,knif,razor blad,something sharp,X,X,50,fridg,magnet,fram,tap,sticky dot,X,58,there number,there addres,contact with them,there social media,facebook,snap,75,extra mask,bandana,face shield,disposabl,X,X,75,pork,beef,chicken,different meat,X,X,42.939
136.60.233.52,588,TRUE,A11N2XYG9AGJ30,0,,pillow,chair,music,to turn these light down so you can nap,tea,movie,125,coffee I can mak,coffee so have som,coffee so make some if you lik,energy drinkyou want,plenty of energy drinks Have on,coffee and snacks Go for it,133,no ac Plenty of shade outsid,fans Ill turn them on,fan in the next room,Ill get a of fans,Let open the windows,fan and well open up the windows,110,firewood we can get,firewood just outsid,fireplace we can us,space heater Ill fire up,not much insulation in the walls,firewood and electric blanket thatll help warm us,145,cash you can borrow,cash you can us,card you can us,gift card that got some value left,gift card her,money,68,all sort of pet her,kitten and puppi you can adopt,rescue pet that they offer each weekend,rescue shelter they work with,puppi everywher,cats dogs bird and gecko you can choose from,84,bik,motorcycl,two scooter,car we can tak,car but we need some ga,your Mom car,75,pen and charcoal you can us,no doubt you can pull it off,sketch pad and pencil right her,plenty of thing you can use in her,set of pen and paper her,stuff you can us,123,one insid,one in the kitchen Ill get it,one right her,matches,match book,lighter somewher,78,flashlight,my phone flashlight,flashlight app,something her,light,lighter,52,scissor her,scissor somewhere in her,small knif,pocket knife her,scissors,something for that,69,magnets,magnet I could us,to take some stuff down first,to make room first,plenty of room up ther,all sort of pic like that,60,her number,feeling she seeing someon,number for her Ill get it ,feeling she engaged,to ask: you want to go out with her,sense she not dating anyon,81,spare on,spar,another mask somewher,clean on,mask I alway carry,gaiter,51,beef chicken or pork,all sort of meat choices,meat What do you want,only vegan sorry,beef and pork Choose buddy,no meat options,116.621
100.12.204.79,1910,TRUE,A26LOVXF4QZZCO,19,,beer,win,weed,scotch,vodka,seltzer,123,coffe,soda,cocain,adderal,amphetamin,X,61,ac,cold beer,cold drink,lemonad,X,X,51,stov,thermostat,fireplac,firewood,propane heater,X,41,money,credit card,debit card,gift card,chang,X,44,cat,dog,hamster,gerbil,lizard,guinea pig,46,bik,scooter,car,sakteboard,roller blad,X,54,paint,canva,finger paint,water color,brush,X,34,lighter,match,blow torch,candl,X,X,38,phon,flashlight,lighter,light,X,X,68,scissor,knif,clipper,utility blad,X,X,100,tap,magnet,spac,tim,X,X,42,her number,her email,her linkedin,her twitter,her instagram,X,56,mask,bandana,cloth,gaiter,X,X,61,beef,pork,chicken,lamb,veal,X,29.638
73.224.212.236,1120,TRUE,A336V7IY38Q2WN,0,,weed,vodka,win,beer,book,tv,37,coffe,cocain,amphetamin,adderall,pill,sugar,56,AC,fan,ic,cold drink,window,beer,37,blanket,jacket,sweater,cover,comforter,heater,91,cash,money,chang,credit card,debit card,bill,32,cat,dog,lizard,fish,ferret,sugar glider,35,car,scooter,motorcycl,bik,moped,roller blad,99,pencil,crayon,paint,marker,ink,pen,27,lighter,match,zippo,on,match,flam,51,binocular,smartphon,night vision goggl,infrared camera,digital camera,telescopic len,186,scissor,tweezer,needle nose plier,knif,box cutter,razor,52,magnet,tap,glu,adhesiv,pin,room,70,her home number,her email addres,her social media @,her profile pag,her office number,her phone number,49,napkin,hankerchief,bandanna,spar,mask,cloth,67,beef,chicken,sausag,bacon,pepperoni,lamb,150.322
65.27.109.126,1434,TRUE,A173MXK429XAZQ,0,,video gam,movi,beer,soda,pizza,takeout,28,coffe,few energy drink,breakfast,donut,hot tea,redbull,34,thermostat,window we can open,ice cub,door we can open,heater we can turn off,ga fireplace turned on,57,fireplac,thermostat,ga fireplac,wood stov,blanket,coat,53,your wallet,money I can lend you,gift card,credit card,$20,few dollar,44,goldfish,bird,parakeet,kitten,puppi,snak,19,roller skat,bik,scooter,segway,motorcycl,car,23,few hour,free tim,interest in that,few minut,time right now,little free tim,47,A lighter in her,light around somewher,box of match,book of match,light,something around her,72,flashlight,light on my phon,headlamp,nightvision goggl,lantern,lighter,32,scissor,knif,kitchen shear,nail clipper,nail scissor,pocketknif,47,fram,magnet,free spot on the fridg,just the plac,place to put it,just the spot,39,her number,h number,hi info,her info,hi contact information,her contact information,47,extra mask,scarf,face covering,turtleneck,bandana,strip of fabric,52,beef,pork,chicken,shrimp,fish,crab,24.08
162.193.23.43,2253,TRUE,A34U4186EW0B9X,1,,Milk,Weed,NyQuil,Melatonin,Whiskey,Beer,39,coffe,caffien,jolt,mountain dew,monster,kaboom,36,soda,kool-aid,slushy,water,juic,gatoraid,47,blanket,coat,scarf,vest,cloak,shawl,42,cash,gift card,credit card,store credit,gift certificat,traveler check,102,cat,dog,Lizard,A Hamster,A Bird,A Guinea Pig,40,car,bik,scooter,skateboard,cart,gocart,111,pencil,pen,crayon,brush,charcoal,chalk,178,match,lighter,Bic,A Zippo,A Flint,A Flam,65,flashlight,candl,lamp,torch,beacon,light,202,scissor,kniv,blad,xacto,scalpal,clipper,45,magnet,pin,clip,copy,spot,fram,40,her number,her digit,her email,her twitter,her facebook,her addres,87,mask,scarf,bandana,gaitor,sleev,X,72,steak,beef,chicken,lamb,pork,bacon,31.087
108.18.33.59,1878,TRUE,A3DJJQP3ATMFKP,24,,bed,music,aromatherapy,candl,X,X,57,coffe,tea,caffeine pill,energy drink,X,X,69,pool,cool shower,ice water,ice cream,X,X,114,heater,fir,warm blanket,warm sock,hot shower,hot tub,45,cash,my credit card,my debit card,chang,X,X,70,dog,cat,fish,guinea pig,hamster,bird,39,car,bik,scooter,bu pas,money for a cab,X,27,pencil,paper,pen,eraser,X,X,33,lighter,match,lighter inside the hous,match inside the hous,X,X,92,flashlight,lighter,match,light,X,X,66,scissor,razor,seam ripper,knif,X,X,106,magnet,more photo like thi on,copy right her,fridge over ther,X,X,60,her phone number,her email,her snapchat,her instagram,her facebook,X,73,extra mask,bandana,mask shield,balaclava,X,X,76,chicken,turkey,beef,pork,X,X,39.737
184.156.183.214,2384,TRUE,A2ONILC0LZKG6Y,30,,drink,gam,movi,idea,X,X,33,coffe,tea,energy drink,red bull,X,X,23,fan,AC,ice tea,window to open,X,X,48,fireplac,broken window,blanket,space heater,X,X,29,cash,my card,it her,your wallet,X,X,27,dog,cat,rabbit,bird,X,X,27,option,bik,scooter,car,X,X,56,pencil,paper,pen,suppli,X,X,56,on,match,lot,lighter,X,X,63,light,flashlight,phonelight,thi,X,X,31,scissor,clipper,something,knif,X,X,70,room,spac,nothing like it,idea,X,X,79,her,her number,her info,it her,X,X,53,extra,one her,clean on,thi on,X,X,47,pork,beef,chicken,seafood,X,X,19.716
66.214.10.101,675,TRUE,A2XKIP0PJ3FJ20,24,,Angela phone number,win,beer,pot,book,tv,69,Monster drink,my shower you can us,really SCARY horror flick,X,X,X,103,remote for the A/C,A/C,window we can open,fan,door we can open,X,69,fireplace we can us,blanket,sleeping bag,comforter,heater,X,92,enough to cover thi,twenty,money you lent m,my charge card,my pay check,X,47,cat,guinea pig,bird,puppi,fish,monkey,73,our motorcycl,Ford,our bik,Avanti,X,X,78,pencil,paint,drawing board,everything youll need,zero art suppli,X,83,lighter,match,my stop-smoking booklet : ),X,X,X,91,flashlight,my lighter,our spare set of key,X,X,X,60,scissor,knif,clipper,X,X,X,61,already,better idea,to do that,another nice one too,X,X,57,hi phone number,hi addres,hi eMail addres,hi office number,hi sister number,hi Dad number,63,spare one her,key to my car,X,X,X,X,89,pork,salami,hamburger,turkey,chicken,duck,64.292
